I	ένα
MCCLXXX	χίλια διακόσια ογδόντα
MCCLXXXI	χίλια διακόσια ογδόντα ένα
MCCLXXXII	χίλια διακόσια ογδόντα δύο
MCCLXXXIII	χίλια διακόσια ογδόντα τρία
MCCLXXXIV	χίλια διακόσια ογδόντα τέσσερα
MCCLXXXV	χίλια διακόσια ογδόντα πέντε
MCCLXXXVI	χίλια διακόσια ογδόντα έξι
MCCLXXXVII	χίλια διακόσια ογδόντα εφτά
MCCLXXXVIII	χίλια διακόσια ογδόντα οχτώ
MCCLXXXIX	χίλια διακόσια ογδόντα εννιά
MCCXC	χίλια διακόσια ενενήντα
MCCXCI	χίλια διακόσια ενενήντα ένα
MCCXCII	χίλια διακόσια ενενήντα δύο
MCCXCIII	χίλια διακόσια ενενήντα τρία
MCCXCIV	χίλια διακόσια ενενήντα τέσσερα
MCCXCV	χίλια διακόσια ενενήντα πέντε
MCCXCVI	χίλια διακόσια ενενήντα έξι
MCCXCVII	χίλια διακόσια ενενήντα εφτά
MCCXCVIII	χίλια διακόσια ενενήντα οχτώ
MCCXCIX	χίλια διακόσια ενενήντα εννιά
MCCC	χίλια τριακόσια
MCCCI	χίλια τριακόσια ένα
MCCCII	χίλια τριακόσια δύο
MCCCIII	χίλια τριακόσια τρία
MCCCIV	χίλια τριακόσια τέσσερα
MCCCV	χίλια τριακόσια πέντε
MCCCVI	χίλια τριακόσια έξι
MCCCVII	χίλια τριακόσια εφτά
MCCCVIII	χίλια τριακόσια οχτώ
MCCCIX	χίλια τριακόσια εννιά
MCCCX	χίλια τριακόσια δέκα
MCCCXI	χίλια τριακόσια έντεκα
MCCCXII	χίλια τριακόσια δώδεκα
MCCCXIII	χίλια τριακόσια δεκατρία
MCCCXIV	χίλια τριακόσια δεκατέσσερα
MCCCXV	χίλια τριακόσια δεκαπέντε
MCCCXVI	χίλια τριακόσια δεκαέξι
MCCCXVII	χίλια τριακόσια δεκαεφτά
MCCCXVIII	χίλια τριακόσια δεκαοχτώ
MCCCXIX	χίλια τριακόσια δεκαεννιά
MCCCXX	χίλια τριακόσια είκοσι
MCCCXXI	χίλια τριακόσια είκοσι ένα
MCCCXXII	χίλια τριακόσια είκοσι δύο
MCCCXXIII	χίλια τριακόσια είκοσι τρία
MCCCXXIV	χίλια τριακόσια είκοσι τέσσερα
MCCCXXV	χίλια τριακόσια είκοσι πέντε
MCCCXXVI	χίλια τριακόσια είκοσι έξι
MCCCXXVII	χίλια τριακόσια είκοσι εφτά
MCCCXXVIII	χίλια τριακόσια είκοσι οχτώ
MCCCXXIX	χίλια τριακόσια είκοσι εννιά
MCCCXXX	χίλια τριακόσια τριάντα
MCCCXXXI	χίλια τριακόσια τριάντα ένα
MCCCXXXII	χίλια τριακόσια τριάντα δύο
MCCCXXXIII	χίλια τριακόσια τριάντα τρία
MCCCXXXIV	χίλια τριακόσια τριάντα τέσσερα
MCCCXXXV	χίλια τριακόσια τριάντα πέντε
MCCCXXXVI	χίλια τριακόσια τριάντα έξι
MCCCXXXVII	χίλια τριακόσια τριάντα εφτά
MCCCXXXVIII	χίλια τριακόσια τριάντα οχτώ
MCCCXXXIX	χίλια τριακόσια τριάντα εννιά
MCCCXL	χίλια τριακόσια σαράντα
MCCCXLI	χίλια τριακόσια σαράντα ένα
MCCCXLII	χίλια τριακόσια σαράντα δύο
MCCCXLIII	χίλια τριακόσια σαράντα τρία
MCCCXLIV	χίλια τριακόσια σαράντα τέσσερα
MCCCXLV	χίλια τριακόσια σαράντα πέντε
MCCCXLVI	χίλια τριακόσια σαράντα έξι
MCCCXLVII	χίλια τριακόσια σαράντα εφτά
MCCCXLVIII	χίλια τριακόσια σαράντα οχτώ
MCCCXLIX	χίλια τριακόσια σαράντα εννιά
MCCCL	χίλια τριακόσια πενήντα
MCCCLI	χίλια τριακόσια πενήντα ένα
MCCCLII	χίλια τριακόσια πενήντα δύο
MCCCLIII	χίλια τριακόσια πενήντα τρία
MCCCLIV	χίλια τριακόσια πενήντα τέσσερα
MCCCLV	χίλια τριακόσια πενήντα πέντε
MCCCLVI	χίλια τριακόσια πενήντα έξι
MCCCLVII	χίλια τριακόσια πενήντα εφτά
MCCCLVIII	χίλια τριακόσια πενήντα οχτώ
MCCCLIX	χίλια τριακόσια πενήντα εννιά
MCCCLX	χίλια τριακόσια εξήντα
MCCCLXI	χίλια τριακόσια εξήντα ένα
MCCCLXII	χίλια τριακόσια εξήντα δύο
MCCCLXIII	χίλια τριακόσια εξήντα τρία
MCCCLXIV	χίλια τριακόσια εξήντα τέσσερα
MCCCLXV	χίλια τριακόσια εξήντα πέντε
MCCCLXVI	χίλια τριακόσια εξήντα έξι
MCCCLXVII	χίλια τριακόσια εξήντα εφτά
MCCCLXVIII	χίλια τριακόσια εξήντα οχτώ
MCCCLXIX	χίλια τριακόσια εξήντα εννιά
MCCCLXX	χίλια τριακόσια εβδομήντα
MCCCLXXI	χίλια τριακόσια εβδομήντα ένα
MCCCLXXII	χίλια τριακόσια εβδομήντα δύο
MCCCLXXIII	χίλια τριακόσια εβδομήντα τρία
MCCCLXXIV	χίλια τριακόσια εβδομήντα τέσσερα
MCCCLXXV	χίλια τριακόσια εβδομήντα πέντε
MCCCLXXVI	χίλια τριακόσια εβδομήντα έξι
MCCCLXXVII	χίλια τριακόσια εβδομήντα εφτά
MCCCLXXVIII	χίλια τριακόσια εβδομήντα οχτώ
MCCCLXXIX	χίλια τριακόσια εβδομήντα εννιά
MCCCLXXX	χίλια τριακόσια ογδόντα
MCCCLXXXI	χίλια τριακόσια ογδόντα ένα
MCCCLXXXII	χίλια τριακόσια ογδόντα δύο
MCCCLXXXIII	χίλια τριακόσια ογδόντα τρία
MCCCLXXXIV	χίλια τριακόσια ογδόντα τέσσερα
MCCCLXXXV	χίλια τριακόσια ογδόντα πέντε
MCCCLXXXVI	χίλια τριακόσια ογδόντα έξι
MCCCLXXXVII	χίλια τριακόσια ογδόντα εφτά
MCCCLXXXVIII	χίλια τριακόσια ογδόντα οχτώ
MCCCLXXXIX	χίλια τριακόσια ογδόντα εννιά
MCCCXC	χίλια τριακόσια ενενήντα
MCCCXCI	χίλια τριακόσια ενενήντα ένα
MCCCXCII	χίλια τριακόσια ενενήντα δύο
MCCCXCIII	χίλια τριακόσια ενενήντα τρία
MCCCXCIV	χίλια τριακόσια ενενήντα τέσσερα
MCCCXCV	χίλια τριακόσια ενενήντα πέντε
MCCCXCVI	χίλια τριακόσια ενενήντα έξι
MCCCXCVII	χίλια τριακόσια ενενήντα εφτά
MCCCXCVIII	χίλια τριακόσια ενενήντα οχτώ
MCCCXCIX	χίλια τριακόσια ενενήντα εννιά
MCD	χίλια τετρακόσια
MCDI	χίλια τετρακόσια ένα
MCDII	χίλια τετρακόσια δύο
MCDIII	χίλια τετρακόσια τρία
MCDIV	χίλια τετρακόσια τέσσερα
MCDV	χίλια τετρακόσια πέντε
MCDVI	χίλια τετρακόσια έξι
MCDVII	χίλια τετρακόσια εφτά
MCDVIII	χίλια τετρακόσια οχτώ
MCDIX	χίλια τετρακόσια εννιά
MCDX	χίλια τετρακόσια δέκα
MCDXI	χίλια τετρακόσια έντεκα
MCDXII	χίλια τετρακόσια δώδεκα
MCDXIII	χίλια τετρακόσια δεκατρία
MCDXIV	χίλια τετρακόσια δεκατέσσερα
MCDXV	χίλια τετρακόσια δεκαπέντε
MCDXVI	χίλια τετρακόσια δεκαέξι
MCDXVII	χίλια τετρακόσια δεκαεφτά
MCDXVIII	χίλια τετρακόσια δεκαοχτώ
MCDXIX	χίλια τετρακόσια δεκαεννιά
MCDXX	χίλια τετρακόσια είκοσι
MCDXXI	χίλια τετρακόσια είκοσι ένα
MCDXXII	χίλια τετρακόσια είκοσι δύο
MCDXXIII	χίλια τετρακόσια είκοσι τρία
MCDXXIV	χίλια τετρακόσια είκοσι τέσσερα
MCDXXV	χίλια τετρακόσια είκοσι πέντε
MCDXXVI	χίλια τετρακόσια είκοσι έξι
MCDXXVII	χίλια τετρακόσια είκοσι εφτά
MCDXXVIII	χίλια τετρακόσια είκοσι οχτώ
MCDXXIX	χίλια τετρακόσια είκοσι εννιά
MCDXXX	χίλια τετρακόσια τριάντα
MCDXXXI	χίλια τετρακόσια τριάντα ένα
MCDXXXII	χίλια τετρακόσια τριάντα δύο
MCDXXXIII	χίλια τετρακόσια τριάντα τρία
MCDXXXIV	χίλια τετρακόσια τριάντα τέσσερα
MCDXXXV	χίλια τετρακόσια τριάντα πέντε
MCDXXXVI	χίλια τετρακόσια τριάντα έξι
MCDXXXVII	χίλια τετρακόσια τριάντα εφτά
MCDXXXVIII	χίλια τετρακόσια τριάντα οχτώ
MCDXXXIX	χίλια τετρακόσια τριάντα εννιά
MCDXL	χίλια τετρακόσια σαράντα
MCDXLI	χίλια τετρακόσια σαράντα ένα
MCDXLII	χίλια τετρακόσια σαράντα δύο
MCDXLIII	χίλια τετρακόσια σαράντα τρία
MCDXLIV	χίλια τετρακόσια σαράντα τέσσερα
MCDXLV	χίλια τετρακόσια σαράντα πέντε
MCDXLVI	χίλια τετρακόσια σαράντα έξι
MCDXLVII	χίλια τετρακόσια σαράντα εφτά
MCDXLVIII	χίλια τετρακόσια σαράντα οχτώ
MCDXLIX	χίλια τετρακόσια σαράντα εννιά
MCDL	χίλια τετρακόσια πενήντα
MCDLI	χίλια τετρακόσια πενήντα ένα
MCDLII	χίλια τετρακόσια πενήντα δύο
MCDLIII	χίλια τετρακόσια πενήντα τρία
MCDLIV	χίλια τετρακόσια πενήντα τέσσερα
MCDLV	χίλια τετρακόσια πενήντα πέντε
MCDLVI	χίλια τετρακόσια πενήντα έξι
MCDLVII	χίλια τετρακόσια πενήντα εφτά
MCDLVIII	χίλια τετρακόσια πενήντα οχτώ
MCDLIX	χίλια τετρακόσια πενήντα εννιά
MCDLX	χίλια τετρακόσια εξήντα
MCDLXI	χίλια τετρακόσια εξήντα ένα
MCDLXII	χίλια τετρακόσια εξήντα δύο
MCDLXIII	χίλια τετρακόσια εξήντα τρία
MCDLXIV	χίλια τετρακόσια εξήντα τέσσερα
MCDLXV	χίλια τετρακόσια εξήντα πέντε
MCDLXVI	χίλια τετρακόσια εξήντα έξι
MCDLXVII	χίλια τετρακόσια εξήντα εφτά
MCDLXVIII	χίλια τετρακόσια εξήντα οχτώ
MCDLXIX	χίλια τετρακόσια εξήντα εννιά
MCDLXX	χίλια τετρακόσια εβδομήντα
MCDLXXI	χίλια τετρακόσια εβδομήντα ένα
MCDLXXII	χίλια τετρακόσια εβδομήντα δύο
MCDLXXIII	χίλια τετρακόσια εβδομήντα τρία
MCDLXXIV	χίλια τετρακόσια εβδομήντα τέσσερα
MCDLXXV	χίλια τετρακόσια εβδομήντα πέντε
MCDLXXVI	χίλια τετρακόσια εβδομήντα έξι
MCDLXXVII	χίλια τετρακόσια εβδομήντα εφτά
MCDLXXVIII	χίλια τετρακόσια εβδομήντα οχτώ
MCDLXXIX	χίλια τετρακόσια εβδομήντα εννιά
MCDLXXX	χίλια τετρακόσια ογδόντα
MCDLXXXI	χίλια τετρακόσια ογδόντα ένα
MCDLXXXII	χίλια τετρακόσια ογδόντα δύο
MCDLXXXIII	χίλια τετρακόσια ογδόντα τρία
MCDLXXXIV	χίλια τετρακόσια ογδόντα τέσσερα
MCDLXXXV	χίλια τετρακόσια ογδόντα πέντε
MCDLXXXVI	χίλια τετρακόσια ογδόντα έξι
MCDLXXXVII	χίλια τετρακόσια ογδόντα εφτά
MCDLXXXVIII	χίλια τετρακόσια ογδόντα οχτώ
MCDLXXXIX	χίλια τετρακόσια ογδόντα εννιά
MCDXC	χίλια τετρακόσια ενενήντα
MCDXCI	χίλια τετρακόσια ενενήντα ένα
MCDXCII	χίλια τετρακόσια ενενήντα δύο
MCDXCIII	χίλια τετρακόσια ενενήντα τρία
MCDXCIV	χίλια τετρακόσια ενενήντα τέσσερα
MCDXCV	χίλια τετρακόσια ενενήντα πέντε
MCDXCVI	χίλια τετρακόσια ενενήντα έξι
MCDXCVII	χίλια τετρακόσια ενενήντα εφτά
MCDXCVIII	χίλια τετρακόσια ενενήντα οχτώ
MCDXCIX	χίλια τετρακόσια ενενήντα εννιά
MD	χίλια πεντακόσια
MDI	χίλια πεντακόσια ένα
MDII	χίλια πεντακόσια δύο
MDIII	χίλια πεντακόσια τρία
MDIV	χίλια πεντακόσια τέσσερα
MDV	χίλια πεντακόσια πέντε
MDVI	χίλια πεντακόσια έξι
MDVII	χίλια πεντακόσια εφτά
MDVIII	χίλια πεντακόσια οχτώ
MDIX	χίλια πεντακόσια εννιά
MDX	χίλια πεντακόσια δέκα
MDXI	χίλια πεντακόσια έντεκα
MDXII	χίλια πεντακόσια δώδεκα
MDXIII	χίλια πεντακόσια δεκατρία
MDXIV	χίλια πεντακόσια δεκατέσσερα
MDXV	χίλια πεντακόσια δεκαπέντε
MDXVI	χίλια πεντακόσια δεκαέξι
MDXVII	χίλια πεντακόσια δεκαεφτά
MDXVIII	χίλια πεντακόσια δεκαοχτώ
MDXIX	χίλια πεντακόσια δεκαεννιά
MDXX	χίλια πεντακόσια είκοσι
MDXXI	χίλια πεντακόσια είκοσι ένα
MDXXII	χίλια πεντακόσια είκοσι δύο
MDXXIII	χίλια πεντακόσια είκοσι τρία
MDXXIV	χίλια πεντακόσια είκοσι τέσσερα
MDXXV	χίλια πεντακόσια είκοσι πέντε
MDXXVI	χίλια πεντακόσια είκοσι έξι
MDXXVII	χίλια πεντακόσια είκοσι εφτά
MDXXVIII	χίλια πεντακόσια είκοσι οχτώ
MDXXIX	χίλια πεντακόσια είκοσι εννιά
MDXXX	χίλια πεντακόσια τριάντα
MDXXXI	χίλια πεντακόσια τριάντα ένα
MDXXXII	χίλια πεντακόσια τριάντα δύο
MDXXXIII	χίλια πεντακόσια τριάντα τρία
MDXXXIV	χίλια πεντακόσια τριάντα τέσσερα
MDXXXV	χίλια πεντακόσια τριάντα πέντε
MDXXXVI	χίλια πεντακόσια τριάντα έξι
MDXXXVII	χίλια πεντακόσια τριάντα εφτά
MDXXXVIII	χίλια πεντακόσια τριάντα οχτώ
MDXXXIX	χίλια πεντακόσια τριάντα εννιά
MDXL	χίλια πεντακόσια σαράντα
MDXLI	χίλια πεντακόσια σαράντα ένα
MDXLII	χίλια πεντακόσια σαράντα δύο
MDXLIII	χίλια πεντακόσια σαράντα τρία
MDXLIV	χίλια πεντακόσια σαράντα τέσσερα
MDXLV	χίλια πεντακόσια σαράντα πέντε
MDXLVI	χίλια πεντακόσια σαράντα έξι
MDXLVII	χίλια πεντακόσια σαράντα εφτά
MDXLVIII	χίλια πεντακόσια σαράντα οχτώ
MDXLIX	χίλια πεντακόσια σαράντα εννιά
MDL	χίλια πεντακόσια πενήντα
MDLI	χίλια πεντακόσια πενήντα ένα
MDLII	χίλια πεντακόσια πενήντα δύο
MDLIII	χίλια πεντακόσια πενήντα τρία
MDLIV	χίλια πεντακόσια πενήντα τέσσερα
MDLV	χίλια πεντακόσια πενήντα πέντε
MDLVI	χίλια πεντακόσια πενήντα έξι
MDLVII	χίλια πεντακόσια πενήντα εφτά
MDLVIII	χίλια πεντακόσια πενήντα οχτώ
MDLIX	χίλια πεντακόσια πενήντα εννιά
MDLX	χίλια πεντακόσια εξήντα
MDLXI	χίλια πεντακόσια εξήντα ένα
MDLXII	χίλια πεντακόσια εξήντα δύο
MDLXIII	χίλια πεντακόσια εξήντα τρία
MDLXIV	χίλια πεντακόσια εξήντα τέσσερα
MDLXV	χίλια πεντακόσια εξήντα πέντε
MDLXVI	χίλια πεντακόσια εξήντα έξι
MDLXVII	χίλια πεντακόσια εξήντα εφτά
MDLXVIII	χίλια πεντακόσια εξήντα οχτώ
MDLXIX	χίλια πεντακόσια εξήντα εννιά
MDLXX	χίλια πεντακόσια εβδομήντα
MDLXXI	χίλια πεντακόσια εβδομήντα ένα
MDLXXII	χίλια πεντακόσια εβδομήντα δύο
MDLXXIII	χίλια πεντακόσια εβδομήντα τρία
MDLXXIV	χίλια πεντακόσια εβδομήντα τέσσερα
MDLXXV	χίλια πεντακόσια εβδομήντα πέντε
MDLXXVI	χίλια πεντακόσια εβδομήντα έξι
MDLXXVII	χίλια πεντακόσια εβδομήντα εφτά
MDLXXVIII	χίλια πεντακόσια εβδομήντα οχτώ
MDLXXIX	χίλια πεντακόσια εβδομήντα εννιά
MDLXXX	χίλια πεντακόσια ογδόντα
MDLXXXI	χίλια πεντακόσια ογδόντα ένα
MDLXXXII	χίλια πεντακόσια ογδόντα δύο
MDLXXXIII	χίλια πεντακόσια ογδόντα τρία
MDLXXXIV	χίλια πεντακόσια ογδόντα τέσσερα
MDLXXXV	χίλια πεντακόσια ογδόντα πέντε
MDLXXXVI	χίλια πεντακόσια ογδόντα έξι
MDLXXXVII	χίλια πεντακόσια ογδόντα εφτά
MDLXXXVIII	χίλια πεντακόσια ογδόντα οχτώ
MDLXXXIX	χίλια πεντακόσια ογδόντα εννιά
MDXC	χίλια πεντακόσια ενενήντα
MDXCI	χίλια πεντακόσια ενενήντα ένα
MDXCII	χίλια πεντακόσια ενενήντα δύο
MDXCIII	χίλια πεντακόσια ενενήντα τρία
MDXCIV	χίλια πεντακόσια ενενήντα τέσσερα
MDXCV	χίλια πεντακόσια ενενήντα πέντε
MDXCVI	χίλια πεντακόσια ενενήντα έξι
MDXCVII	χίλια πεντακόσια ενενήντα εφτά
MDXCVIII	χίλια πεντακόσια ενενήντα οχτώ
MDXCIX	χίλια πεντακόσια ενενήντα εννιά
MDC	χίλια εξακόσια
MDCI	χίλια εξακόσια ένα
MDCII	χίλια εξακόσια δύο
MDCIII	χίλια εξακόσια τρία
MDCIV	χίλια εξακόσια τέσσερα
MDCV	χίλια εξακόσια πέντε
MDCVI	χίλια εξακόσια έξι
MDCVII	χίλια εξακόσια εφτά
MDCVIII	χίλια εξακόσια οχτώ
MDCIX	χίλια εξακόσια εννιά
MDCX	χίλια εξακόσια δέκα
MDCXI	χίλια εξακόσια έντεκα
MDCXII	χίλια εξακόσια δώδεκα
MDCXIII	χίλια εξακόσια δεκατρία
MDCXIV	χίλια εξακόσια δεκατέσσερα
MDCXV	χίλια εξακόσια δεκαπέντε
MDCXVI	χίλια εξακόσια δεκαέξι
MDCXVII	χίλια εξακόσια δεκαεφτά
MDCXVIII	χίλια εξακόσια δεκαοχτώ
MDCXIX	χίλια εξακόσια δεκαεννιά
MDCXX	χίλια εξακόσια είκοσι
MDCXXI	χίλια εξακόσια είκοσι ένα
MDCXXII	χίλια εξακόσια είκοσι δύο
MDCXXIII	χίλια εξακόσια είκοσι τρία
MDCXXIV	χίλια εξακόσια είκοσι τέσσερα
MDCXXV	χίλια εξακόσια είκοσι πέντε
MDCXXVI	χίλια εξακόσια είκοσι έξι
MDCXXVII	χίλια εξακόσια είκοσι εφτά
MDCXXVIII	χίλια εξακόσια είκοσι οχτώ
MDCXXIX	χίλια εξακόσια είκοσι εννιά
MDCXXX	χίλια εξακόσια τριάντα
MDCXXXI	χίλια εξακόσια τριάντα ένα
MDCXXXII	χίλια εξακόσια τριάντα δύο
MDCXXXIII	χίλια εξακόσια τριάντα τρία
MDCXXXIV	χίλια εξακόσια τριάντα τέσσερα
MDCXXXV	χίλια εξακόσια τριάντα πέντε
MDCXXXVI	χίλια εξακόσια τριάντα έξι
MDCXXXVII	χίλια εξακόσια τριάντα εφτά
MDCXXXVIII	χίλια εξακόσια τριάντα οχτώ
MDCXXXIX	χίλια εξακόσια τριάντα εννιά
MDCXL	χίλια εξακόσια σαράντα
MDCXLI	χίλια εξακόσια σαράντα ένα
MDCXLII	χίλια εξακόσια σαράντα δύο
MDCXLIII	χίλια εξακόσια σαράντα τρία
MDCXLIV	χίλια εξακόσια σαράντα τέσσερα
MDCXLV	χίλια εξακόσια σαράντα πέντε
MDCXLVI	χίλια εξακόσια σαράντα έξι
MDCXLVII	χίλια εξακόσια σαράντα εφτά
MDCXLVIII	χίλια εξακόσια σαράντα οχτώ
MDCXLIX	χίλια εξακόσια σαράντα εννιά
MDCL	χίλια εξακόσια πενήντα
MDCLI	χίλια εξακόσια πενήντα ένα
MDCLII	χίλια εξακόσια πενήντα δύο
MDCLIII	χίλια εξακόσια πενήντα τρία
MDCLIV	χίλια εξακόσια πενήντα τέσσερα
MDCLV	χίλια εξακόσια πενήντα πέντε
MDCLVI	χίλια εξακόσια πενήντα έξι
MDCLVII	χίλια εξακόσια πενήντα εφτά
MDCLVIII	χίλια εξακόσια πενήντα οχτώ
MDCLIX	χίλια εξακόσια πενήντα εννιά
MDCLX	χίλια εξακόσια εξήντα
MDCLXI	χίλια εξακόσια εξήντα ένα
MDCLXII	χίλια εξακόσια εξήντα δύο
MDCLXIII	χίλια εξακόσια εξήντα τρία
MDCLXIV	χίλια εξακόσια εξήντα τέσσερα
MDCLXV	χίλια εξακόσια εξήντα πέντε
MDCLXVI	χίλια εξακόσια εξήντα έξι
MDCLXVII	χίλια εξακόσια εξήντα εφτά
MDCLXVIII	χίλια εξακόσια εξήντα οχτώ
MDCLXIX	χίλια εξακόσια εξήντα εννιά
MDCLXX	χίλια εξακόσια εβδομήντα
MDCLXXI	χίλια εξακόσια εβδομήντα ένα
MDCLXXII	χίλια εξακόσια εβδομήντα δύο
MDCLXXIII	χίλια εξακόσια εβδομήντα τρία
MDCLXXIV	χίλια εξακόσια εβδομήντα τέσσερα
MDCLXXV	χίλια εξακόσια εβδομήντα πέντε
MDCLXXVI	χίλια εξακόσια εβδομήντα έξι
MDCLXXVII	χίλια εξακόσια εβδομήντα εφτά
MDCLXXVIII	χίλια εξακόσια εβδομήντα οχτώ
MDCLXXIX	χίλια εξακόσια εβδομήντα εννιά
MDCLXXX	χίλια εξακόσια ογδόντα
MDCLXXXI	χίλια εξακόσια ογδόντα ένα
MDCLXXXII	χίλια εξακόσια ογδόντα δύο
MDCLXXXIII	χίλια εξακόσια ογδόντα τρία
MDCLXXXIV	χίλια εξακόσια ογδόντα τέσσερα
MDCLXXXV	χίλια εξακόσια ογδόντα πέντε
MDCLXXXVI	χίλια εξακόσια ογδόντα έξι
MDCLXXXVII	χίλια εξακόσια ογδόντα εφτά
MDCLXXXVIII	χίλια εξακόσια ογδόντα οχτώ
MDCLXXXIX	χίλια εξακόσια ογδόντα εννιά
MDCXC	χίλια εξακόσια ενενήντα
MDCXCI	χίλια εξακόσια ενενήντα ένα
MDCXCII	χίλια εξακόσια ενενήντα δύο
MDCXCIII	χίλια εξακόσια ενενήντα τρία
MDCXCIV	χίλια εξακόσια ενενήντα τέσσερα
MDCXCV	χίλια εξακόσια ενενήντα πέντε
MDCXCVI	χίλια εξακόσια ενενήντα έξι
MDCXCVII	χίλια εξακόσια ενενήντα εφτά
MDCXCVIII	χίλια εξακόσια ενενήντα οχτώ
MDCXCIX	χίλια εξακόσια ενενήντα εννιά
MDCC	χίλια εφτακόσια
MDCCI	χίλια εφτακόσια ένα
MDCCII	χίλια εφτακόσια δύο
MDCCIII	χίλια εφτακόσια τρία
MDCCIV	χίλια εφτακόσια τέσσερα
MDCCV	χίλια εφτακόσια πέντε
MDCCVI	χίλια εφτακόσια έξι
MDCCVII	χίλια εφτακόσια εφτά
MDCCVIII	χίλια εφτακόσια οχτώ
MDCCIX	χίλια εφτακόσια εννιά
MDCCX	χίλια εφτακόσια δέκα
MDCCXI	χίλια εφτακόσια έντεκα
MDCCXII	χίλια εφτακόσια δώδεκα
MDCCXIII	χίλια εφτακόσια δεκατρία
MDCCXIV	χίλια εφτακόσια δεκατέσσερα
MDCCXV	χίλια εφτακόσια δεκαπέντε
MDCCXVI	χίλια εφτακόσια δεκαέξι
MDCCXVII	χίλια εφτακόσια δεκαεφτά
MDCCXVIII	χίλια εφτακόσια δεκαοχτώ
MDCCXIX	χίλια εφτακόσια δεκαεννιά
MDCCXX	χίλια εφτακόσια είκοσι
MDCCXXI	χίλια εφτακόσια είκοσι ένα
MDCCXXII	χίλια εφτακόσια είκοσι δύο
MDCCXXIII	χίλια εφτακόσια είκοσι τρία
MDCCXXIV	χίλια εφτακόσια είκοσι τέσσερα
MDCCXXV	χίλια εφτακόσια είκοσι πέντε
MDCCXXVI	χίλια εφτακόσια είκοσι έξι
MDCCXXVII	χίλια εφτακόσια είκοσι εφτά
MDCCXXVIII	χίλια εφτακόσια είκοσι οχτώ
MDCCXXIX	χίλια εφτακόσια είκοσι εννιά
MDCCXXX	χίλια εφτακόσια τριάντα
MDCCXXXI	χίλια εφτακόσια τριάντα ένα
MDCCXXXII	χίλια εφτακόσια τριάντα δύο
MDCCXXXIII	χίλια εφτακόσια τριάντα τρία
MDCCXXXIV	χίλια εφτακόσια τριάντα τέσσερα
MDCCXXXV	χίλια εφτακόσια τριάντα πέντε
MDCCXXXVI	χίλια εφτακόσια τριάντα έξι
MDCCXXXVII	χίλια εφτακόσια τριάντα εφτά
MDCCXXXVIII	χίλια εφτακόσια τριάντα οχτώ
MDCCXXXIX	χίλια εφτακόσια τριάντα εννιά
MDCCXL	χίλια εφτακόσια σαράντα
MDCCXLI	χίλια εφτακόσια σαράντα ένα
MDCCXLII	χίλια εφτακόσια σαράντα δύο
MDCCXLIII	χίλια εφτακόσια σαράντα τρία
MDCCXLIV	χίλια εφτακόσια σαράντα τέσσερα
MDCCXLV	χίλια εφτακόσια σαράντα πέντε
MDCCXLVI	χίλια εφτακόσια σαράντα έξι
MDCCXLVII	χίλια εφτακόσια σαράντα εφτά
MDCCXLVIII	χίλια εφτακόσια σαράντα οχτώ
MDCCXLIX	χίλια εφτακόσια σαράντα εννιά
MDCCL	χίλια εφτακόσια πενήντα
MDCCLI	χίλια εφτακόσια πενήντα ένα
MDCCLII	χίλια εφτακόσια πενήντα δύο
MDCCLIII	χίλια εφτακόσια πενήντα τρία
MDCCLIV	χίλια εφτακόσια πενήντα τέσσερα
MDCCLV	χίλια εφτακόσια πενήντα πέντε
MDCCLVI	χίλια εφτακόσια πενήντα έξι
MDCCLVII	χίλια εφτακόσια πενήντα εφτά
MDCCLVIII	χίλια εφτακόσια πενήντα οχτώ
MDCCLIX	χίλια εφτακόσια πενήντα εννιά
MDCCLX	χίλια εφτακόσια εξήντα
MDCCLXI	χίλια εφτακόσια εξήντα ένα
MDCCLXII	χίλια εφτακόσια εξήντα δύο
MDCCLXIII	χίλια εφτακόσια εξήντα τρία
MDCCLXIV	χίλια εφτακόσια εξήντα τέσσερα
MDCCLXV	χίλια εφτακόσια εξήντα πέντε
MDCCLXVI	χίλια εφτακόσια εξήντα έξι
MDCCLXVII	χίλια εφτακόσια εξήντα εφτά
MDCCLXVIII	χίλια εφτακόσια εξήντα οχτώ
MDCCLXIX	χίλια εφτακόσια εξήντα εννιά
MDCCLXX	χίλια εφτακόσια εβδομήντα
MDCCLXXI	χίλια εφτακόσια εβδομήντα ένα
MDCCLXXII	χίλια εφτακόσια εβδομήντα δύο
MDCCLXXIII	χίλια εφτακόσια εβδομήντα τρία
MDCCLXXIV	χίλια εφτακόσια εβδομήντα τέσσερα
MDCCLXXV	χίλια εφτακόσια εβδομήντα πέντε
MDCCLXXVI	χίλια εφτακόσια εβδομήντα έξι
MDCCLXXVII	χίλια εφτακόσια εβδομήντα εφτά
MDCCLXXVIII	χίλια εφτακόσια εβδομήντα οχτώ
MDCCLXXIX	χίλια εφτακόσια εβδομήντα εννιά
MDCCLXXX	χίλια εφτακόσια ογδόντα
MDCCLXXXI	χίλια εφτακόσια ογδόντα ένα
MDCCLXXXII	χίλια εφτακόσια ογδόντα δύο
MDCCLXXXIII	χίλια εφτακόσια ογδόντα τρία
MDCCLXXXIV	χίλια εφτακόσια ογδόντα τέσσερα
MDCCLXXXV	χίλια εφτακόσια ογδόντα πέντε
MDCCLXXXVI	χίλια εφτακόσια ογδόντα έξι
