ackl	ackordslagen
konkl	konkurslagen
konstjl	konsumenttjänstlagen
kru	kulturutskottet
kskl	kommunalskattelagen
ku-dep	kulturdepartementet
kungl	kungörandelagen
köpl	köplagen
lst:s	länsstyrelses
lagr	lagrådet
lst	länsstyrelsen
mskl	miljöskadelagen
mc	mac
miljöb	miljöbalken
miljöb:s	miljöbalkens
nutll	nya utlänningslagen
nok	natur och kultur
nyttjl	lagen om nyttjanderätt till fast egendom
offsekrl	offentlighets- och sekretesslagen
pbrl	lagen om pantbrevsregister
poll	polislagen
poll:s	polislagens
polisl	polislagen
prokural	prokuralagen
rbkomm	kommentar till rättegångsbalken
regf	regeringsformen
regr	regeringsrätten
regr:s	regeringsrättens
rhjf	rättshjälpsförordningen
rhjl	rättshjälpslagen
ridd.o	riddarhusordningen
romf	romfördraget
rtjl	räddningstjänstlagen
räntel	räntelagen
sambol	lagen om sambors gemensamma hem
samägarl	lagen om samäganderätt
sekrf	sekretessförordningen
sekrl	sekretesslagen
sekrl:s	sekretesslagens
seml	semesterlagen
servl	lagen om servitut
sjöl	sjölagen
skbrl	skattebrottslagen
skl	skadeståndslagen
sku	skatteutskottet
skadestl	skadeståndslagen
skadestl:s	skadeståndslagens
skbrl	skuldebrevslagen
skkl	skogskontolagen
sksanl	skuldsaneringslagen
skstl	skadeståndslagen
smittskl	smittskyddslagen
smittskl:s	smittskyddslagens
sof	socialtjänstförordningen
sol	socialtjänstlagen
sol:s	socialtjänstlagens
sou	socialutskottet
sofl	socialförsäkringslagen
stsskl	strålskyddslagen
svjt	svensk juristtidning
tr:n	tingsrätten
tr:ns	tingsrättens
taxl	taxeringslagen
taxl:s	taxeringslagens
telel	telelagen
tr.f	tryckfrihetsförordningen
tr.o	tryckfrihetsförordningen
trf	trafikförordningen
trf:s	trafikförordningens
traf	trafikförordningen
traf:s	trafikförordningens
trafikf	trafikförordningen
trafikf:s	trafikförordningens
tskl	trafikskadelagen
tvl	lagen om särskilda tvångsåtgärder i beskattningsförfarandet
ubu	utbildningsutskottet
upphl	upphovsrättslagen
utlf	utlänningsförordningen
utll	utlänningslagen
utll:s	utlänningslagens
vall:s	vallagens
verksf	verksförordningen
verksf:s	verksförordningens
vxl	växellagen
a.d.	anno domini
c:a	cirka
e l.	eller liknande
eg.	egentligen
eo.	extra ordinarie
f d.	föredetta
fn.	för närvarande
sr.	senior
vall	vallagen
ägofrl	lagen om ägofred
äktb	äktenskapsbalken
äktp	lagen om införande av äktenskapsbalken
ärendel	lagen om domstolsärenden
åklf	åklagarförordningen
alkhl	alkohollagen
anstf	anställningsförordningen
anstf:s	anställningsförordningens
arkivf	arkivförordningen
avbetköpl	avbetalningsköplagen
bokfl	bokföringslagen
co.	kompani
coq10	koenzym q 10
delgl:s	delgivningslagens
depch	departementschef
diskrl	diskrimineringslagen
fiskel	fiskelagen
fullml	lagen om fullmaktsanställning
förfsamlf	författningssamlingsförordningen
hsjvl	hälso och sjukvårdslagen
hyresfl	lagen om förvärv av hyresfastighet
hyresftl	lagen om förvärv av hyresfastighet
högskf	högskoleförordningen
högskl	högskolelagen
ibid.	ibidem
justr	justitieråd
k. instr	kunglig instruktion
kköpl	konsumentköplagen
ktjl	konsumenttjänstlagen
kamr	kammarrätten
kamr:s	kammarrättens
kebbe-förl	kebbe-förlaget
koml	kommunallagen
koml:s	kommunallagens
konkurrensl	konkurrenslagen
kulturml	lagen om kulturminnen
kulturml:s	lagen om kulturminnens
kungl maj:t	kungliga majestät
kungl maj:ts	kungliga majestäts
kungl. maj:t	kungliga majestät
kungl. maj:ts	kungliga majestäts
kökrkl	körkortslagen
kökrkl:s	körkortslagens
körkf	körkortsförordningen
lkavg	lagen om rätt för kommun att ta ut avgift
lstinstr	förordning med länsstyrelseinstruktion
livsml	livsmedelslagen
livsml:s	livsmedelslagens
lösdrl	lösdriverilagen
medbl	lagen om svenskt medborgarskap
medbl:s	lagen om svenskt medborgarskaps
mme	madame
myndf	myndighetsförordningen
namnl	namnlagen
partnerl	partnerlagen
polisf	polisförordningen
preskl	preskriptionslagen
preskrl	preskriptionslagen
rättsprl	rättsprövningslagen
sbetl	skattebetalningslagen
skoll	skollagen
tulll	tullagen
vitesl	viteslagen
vägl	väglagen
vägmf	vägmärkesförordningen
a st.	anfört ställe
adr.	adress
adv.	adverb
agr.	agronomie
al.fälgar	aluminiumfälgar
alufälg	aluminiumfälgar
arbetsmarkn.pol	arbetsmarknadspolitisk
art nr	artikelnummer
avg.	avgift
begr.byrå	begravningsbyrå
beh.	behandling
behandl.	behandling
behanl	behandling
best nr	beställningsnummer
chefsexp	chefsexpedition
chefsexp.	chefsexpedition
d:o	dito
dens.	densamma
dep chef	departementschef
dep sek	departementssekreterare
dep. chef	departementschef
dep. chefen	departementschefen
dep. sekreterare	departementssekreterare
dep.chef	departementschef
dep.chefen	departementschefen
dep.sekreterare	departementssekreterare
doc.	docent
dw	dödvikt
e.t.c.	etcetera
ekon.	ekonomie
el dyl.	eller dylikt
el.	eller
eng.	engelska
epist.	epistel
ex.	exempel
fig.	figur
fjv	fjärrvärme
fr a.	framför allt
fr.	från
fre-sön	fredag till söndag
fred-sönd	fredag till söndag
frfattare	författare
följ.	följande
förf.s	författarens
förf:a	författarna
förf:na	författarna
förf:nas	författarnas
förf:s	författarens
hovr.	hovrätt
i sht.	i synnerhet
isht	i synnerhet
jmftal	jämförelsetal
jr	junior
jur.	juris
jur.utr.	juris utriusque
k:a	kyrka
kand.	kandidat
kostn.	kostnad
leg.	legitimerad
lic.	licentiat
lig.	ligament
mag.	magister
maj:t	majestät
maj:ts	majestäts
min övers.	min översättning
mom.	moment
omm	om och endast om
op.	opus
ord pris	ordinarie pris
ord. pris	ordinarie pris
ord.pris	ordinarie pris
pat.avg.	patientavgift
pers.	person
rec.	recension
reg.	register
rev.	reviderad
s:a	summa
sign.	signatur
spec.	speciell
startförp.	startförpackning
startförpackn	startförpackning
stud.	studerande
t e x	till exempel
tab.	tabell
tekn.	teknologie
tel.	telefon
tel:	telefon
temp.	temperatur
teol.	teologie
vs.	versus
överkl.nämnd	överklagarnämnd
